EXAMES;CUSTO;NAVARRO;CUSTOS;NAVARRO
Clínico SPIX; R$ 40,00 ; R$ 50,00 ; R$ 40,00 ; R$ 50,00 
Clínico PRIME; R$ 40,00 ; R$ 50,00 ; R$ 40,00 ; R$ 50,00 
Clínico PREZERVARE; R$ 38,00 ; R$ 50,00 ; R$ 38,00 ; R$ 50,00 
Clínico PREVINE; R$ 40,00 ; R$ 50,00 ; R$ 40,00 ; R$ 50,00 
Clínico BC WORK; R$ 26,00 ; R$ 50,00 ; R$ 26,00 ; R$ 50,00 
Clínico ENGSEGTRA; R$ 32,00 ; R$ 50,00 ; R$ 32,00 ; R$ 50,00 
Clínico LABORMESP; R$ 40,00 ; R$ 50,00 ; R$ 40,00 ; R$ 50,00 
Audiometria SPIX; R$ 32,00 ; R$ 38,00 ; R$ 25,00 ; R$ 33,00 
Audiometria PRIME; R$ 27,50 ; R$ 33,00 ; R$ 32,00 ; R$ 38,00 
Audiometria PREZERVARE; R$ 32,50 ; R$ 38,00 ; R$ 27,50 ; R$ 33,00 
Audiometria PREVINE; R$ 18,90 ; R$ 33,00 ; R$ 32,50 ; R$ 38,00 
Audiometria BC WORK; R$ 21,00 ; R$ 33,00 ; R$ 18,90 ; R$ 33,00 
Audiometria ENGSEGTRA; R$ 26,00 ; R$ 33,00 ; R$ 21,00 ; R$ 33,00 
Audiometria LABORMESP;;; R$ 26,00 ; R$ 33,00 
Acuidade Visual SPIX;;; R$ 20,00 ; R$ 29,00 
Acuidade Visual PRIME;;; R$ 26,00 ; R$ 29,00 
Acuidade Visual PREZERVARE;;; R$ 16,50 ; R$ 29,00 
Acuidade Visual PREVINE;;; R$ 25,00 ; R$ 29,00 
Acuidade Visual BC WORK;;; R$ 18,20 ; R$ 29,00 
Acuidade Visual ENGSEGTRA;;; R$ 18,00 ; R$ 29,00 
Acuidade Visual LABORMESP;;; R$ 21,00 ; R$ 29,00 
Coprocultura SPIX;;; R$ 32,00 ; R$ 38,00 
Coprocultura PRIME;;; R$ 20,00 ; R$ 33,00 
Coprocultura PREZERVARE;;; R$ 28,50 ; R$ 33,00 
Coprocultura PREVINE;;; R$ 26,00 ; R$ 33,00 
Coprocultura BC WORK;;; R$ 10,90 ; R$ 33,00 
Coprocultura ENGSEGTRA;;; R$ 20,00 ; R$ 33,00 
Coprocultura LABORMESP;;; R$ 16,90 ; R$ 33,00 
PPF SPIX;;; R$ 15,00 ; R$ 24,00 
PPF PRIME;;; R$ 14,00 ; R$ 24,00 
PPF PREZERVARE;;; R$ 11,00 ; R$ 24,00 
PPF PREVINE;;; R$ 17,00 ; R$ 24,00 
PPF BC WORK;;; R$ 7,90 ; R$ 24,00 
PPF ENGSEGTRA;;; R$ 20,00 ; R$ 24,00 
PPF LABORMESP;;; R$ 9,90 ; R$ 24,00 
ECG SPIX;;; R$ 50,00 ; R$ 60,00 
ECG PRIME;;; R$ 42,00 ; R$ 52,00 
ECG PREZERVARE;;; R$ 28,50 ; R$ 52,00 
ECG PREVINE;;; R$ 40,00 ; R$ 52,00 
ECG BC WORK;;; R$ 28,90 ; R$ 52,00 
ECG ENGSEGTRA;;; R$ 28,00 ; R$ 52,00 
ECG LABORMESP;;; R$ 47,58 ; R$ 52,00 
EEG SPIX;;; R$ 80,00 ; R$ 86,00 
EEG PRIME;;; R$ 55,00 ; R$ 66,00 
EEG PREZERVARE;;; R$ 40,00 ; R$ 66,00 
EEG PREVINE;;; R$ 62,00 ; R$ 66,00 
EEG BC WORK;;; R$ 32,90 ; R$ 66,00 
EEG ENGSEGTRA;;; R$ 29,00 ; R$ 66,00 
EEG LABORMESP;;; R$ 57,40 ; R$ 66,00 
RX Tórax - PA SPIX;;; R$ 76,50 ; R$ 87,00 
RX Tórax - PA PRIME;;; R$ 60,00 ; R$ 77,00 
RX Tórax - PA PREZERVARE;;; R$ 70,00 ; R$ 77,00 
RX Tórax - PA PREVINE;;; R$ 46,00 ; R$ 77,00 
RX Tórax - PA BC WORK;;; R$ 36,00 ; R$ 77,00 
RX Tórax - PA ENGSEGTRA;;; R$ 40,00 ; R$ 77,00 
RX Tórax - PA LABORMESP;;; R$ 70,00 ; R$ 77,00 
RX Tórax - PA + PERFIL SPIX;;; R$ 153,00 ; R$ 180,00 
RX Tórax - PA + PERFIL PRIME;;; R$ 60,00 ; R$ 77,00 
RX Tórax - PA + PERFIL PREZERVARE;;; R$ 70,00 ; R$ 77,00 
RX Tórax - PA + PERFIL PREVINE;;; R$ 60,00 ; R$ 77,00 
RX Tórax - PA + PERFIL BC WORK;;; R$ -   ; R$ 77,00 
RX Tórax - PA + PERFIL ENGSEGTRA;;; R$ 40,00 ; R$ 77,00 
RX Tórax - PA + PERFIL LABORMESP;;; R$ -   ; R$ 77,00 
Glicemia SPIX;;; R$ 12,00 ; R$ 18,00 
Glicemia PRIME;;; R$ 15,00 ; R$ 18,00 
Glicemia PREZERVARE;;; R$ 12,00 ; R$ 18,00 
Glicemia PREVINE;;; R$ 12,00 ; R$ 18,00 
Glicemia BC WORK;;; R$ 7,90 ; R$ 18,00 
Glicemia ENGSEGTRA;;; R$ 9,00 ; R$ 18,00 
Glicemia LABORMESP;;; R$ 11,40 ; R$ 18,00 
Hemograma completo SPIX;;; R$ 14,00 ; R$ 22,00 
Hemograma completo PRIME;;; R$ 18,00 ; R$ 22,00 
Hemograma completo PREZERVARE;;; R$ 17,00 ; R$ 22,00 
